2024-11-05 17:52:43,988 INFO    MainThread:514478 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-11-05 17:52:43,989 INFO    MainThread:514478 [wandb_setup.py:_flush():79] Configure stats pid to 514478
2024-11-05 17:52:43,989 INFO    MainThread:514478 [wandb_setup.py:_flush():79] Loading settings from /home/bala/.config/wandb/settings
2024-11-05 17:52:43,989 INFO    MainThread:514478 [wandb_setup.py:_flush():79] Loading settings from /home/bala/Desktop/sri_krishna/BTP/wandb/settings
2024-11-05 17:52:43,989 INFO    MainThread:514478 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-05 17:52:43,989 INFO    MainThread:514478 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-05 17:52:43,989 INFO    MainThread:514478 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'modelling/stage_classifier/trainer.py', 'program_abspath': '/home/bala/Desktop/sri_krishna/BTP/modelling/stage_classifier/trainer.py', 'program': '/home/bala/Desktop/sri_krishna/BTP/modelling/stage_classifier/trainer.py'}
2024-11-05 17:52:43,989 INFO    MainThread:514478 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-05 17:52:43,989 INFO    MainThread:514478 [wandb_init.py:_log_setup():534] Logging user logs to ./wandb/run-20241105_175243-yi8rnx2q/logs/debug.log
2024-11-05 17:52:43,989 INFO    MainThread:514478 [wandb_init.py:_log_setup():535] Logging internal logs to ./wandb/run-20241105_175243-yi8rnx2q/logs/debug-internal.log
2024-11-05 17:52:43,989 INFO    MainThread:514478 [wandb_init.py:init():621] calling init triggers
2024-11-05 17:52:43,990 INFO    MainThread:514478 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {}
2024-11-05 17:52:43,990 INFO    MainThread:514478 [wandb_init.py:init():671] starting backend
2024-11-05 17:52:43,990 INFO    MainThread:514478 [wandb_init.py:init():675] sending inform_init request
2024-11-05 17:52:43,992 INFO    MainThread:514478 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-05 17:52:43,993 INFO    MainThread:514478 [wandb_init.py:init():688] backend started and connected
2024-11-05 17:52:43,998 INFO    MainThread:514478 [wandb_init.py:init():783] updated telemetry
2024-11-05 17:52:44,005 INFO    MainThread:514478 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-11-05 17:52:44,899 INFO    MainThread:514478 [wandb_init.py:init():867] starting run threads in backend
2024-11-05 17:52:45,005 INFO    MainThread:514478 [wandb_run.py:_console_start():2463] atexit reg
2024-11-05 17:52:45,006 INFO    MainThread:514478 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-11-05 17:52:45,006 INFO    MainThread:514478 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-11-05 17:52:45,006 INFO    MainThread:514478 [wandb_run.py:_redirect():2401] Redirects installed.
2024-11-05 17:52:45,007 INFO    MainThread:514478 [wandb_init.py:init():911] run started, returning control to user process
2024-11-05 17:52:45,027 INFO    MainThread:514478 [wandb_run.py:_config_callback():1390] config_cb None None {'config': {'save_dir': 'results', 'Stage_classifier': {'input_dim': 1280, 'num_classes': 4, 'dropout': 0.2, 'hidden_dims': [800, 400, 100]}, 'BATCH_SIZE': 128, 'lr': 1e-05, 'weight_decay': 0.0001, 'MAX_EPOCHS': 20, 'GRAD_ACCUMULATION_STEPS': 2, 'num_workers': 8, 'ckpt_file_name': '{epoch}-{val_CE_loss:.2f}-{val_accuracy:.2f}', 'callbacks': {'ModelCheckpoint': {'monitor': 'val_CE_loss', 'mode': 'min', 'save_top_k': 1, 'save_last': True}, 'EarlyStopping': {'monitor': 'val_CE_loss', 'mode': 'min', 'min_delta': 5e-05, 'patience': 8}}}}
2024-11-05 17:52:45,838 WARNING MsgRouterThr:514478 [router.py:message_loop():77] message_loop has been closed
